[1/16 16:24:15] Players: 15, RAMused: 68.59 MB
[1/16 16:21:14] Players: 16, RAMused: 68.15 MB
[1/16 16:18:14] Players: 16, RAMused: 66.31 MB
[1/16 16:15:15] Players: 20, RAMused: 66.05 MB
[1/16 16:12:14] Players: 19, RAMused: 63.3 MB
[1/16 16:09:14] Players: 20, RAMused: 61.76 MB
[1/16 16:06:14] Players: 19, RAMused: 61.07 MB
[1/16 16:03:15] Players: 18, RAMused: 55.77 MB
[1/16 15:59:09] Players: 14, RAMused: 83.03 MB
[1/16 15:56:09] Players: 16, RAMused: 82.8 MB
[1/16 15:53:09] Players: 16, RAMused: 81.57 MB
[1/16 15:50:09] Players: 10, RAMused: 81.41 MB
[1/16 15:47:09] Players: 9, RAMused: 82.01 MB
[1/16 15:44:09] Players: 8, RAMused: 80.73 MB
[1/16 15:37:09] Players: 8, RAMused: 81.45 MB
[1/16 15:34:09] Players: 8, RAMused: 81.8 MB
[1/16 15:31:09] Players: 8, RAMused: 81.01 MB
[1/16 15:28:09] Players: 9, RAMused: 81.1 MB
[1/16 15:25:09] Players: 8, RAMused: 80.96 MB
[1/16 15:22:09] Players: 9, RAMused: 80.61 MB
[1/16 15:19:09] Players: 11, RAMused: 79.96 MB
[1/16 15:16:09] Players: 11, RAMused: 79.84 MB
[1/16 15:13:09] Players: 10, RAMused: 79.79 MB
[1/16 15:10:09] Players: 8, RAMused: 78.72 MB
[1/16 15:07:09] Players: 10, RAMused: 79.29 MB
[1/16 15:04:09] Players: 10, RAMused: 77.84 MB
[1/16 15:01:09] Players: 9, RAMused: 78.2 MB
[1/16 14:58:09] Players: 12, RAMused: 79.1 MB
[1/16 14:55:09] Players: 12, RAMused: 76.95 MB
[1/16 14:52:09] Players: 12, RAMused: 75.4 MB
[1/16 14:49:09] Players: 11, RAMused: 74.97 MB
[1/16 14:46:09] Players: 11, RAMused: 77.48 MB
[1/16 14:43:09] Players: 10, RAMused: 76.76 MB
[1/16 14:40:09] Players: 10, RAMused: 77.07 MB
[1/16 14:37:09] Players: 10, RAMused: 76.78 MB
[1/16 14:34:09] Players: 10, RAMused: 76.02 MB
[1/16 14:31:09] Players: 11, RAMused: 76.61 MB
[1/16 14:28:09] Players: 14, RAMused: 75.38 MB
[1/16 14:25:09] Players: 11, RAMused: 75.18 MB
[1/16 14:22:09] Players: 11, RAMused: 73.66 MB
[1/16 14:19:09] Players: 12, RAMused: 73.46 MB
[1/16 14:16:09] Players: 12, RAMused: 73.48 MB
[1/16 14:13:09] Players: 12, RAMused: 71.88 MB
[1/16 14:10:09] Players: 10, RAMused: 71.2 MB
[1/16 14:07:09] Players: 10, RAMused: 70.81 MB
[1/16 14:04:09] Players: 9, RAMused: 69.65 MB
[1/16 13:57:33] Players: 15, RAMused: 68.99 MB
[1/16 13:54:33] Players: 14, RAMused: 66.33 MB
[1/16 13:51:33] Players: 14, RAMused: 66.55 MB
[1/16 13:48:33] Players: 14, RAMused: 63.62 MB
[1/16 13:45:33] Players: 13, RAMused: 62.4 MB
[1/16 13:42:33] Players: 13, RAMused: 61.64 MB
[1/16 13:39:33] Players: 14, RAMused: 55.55 MB
[1/16 13:34:16] Players: 12, RAMused: 60.94 MB
[1/16 13:27:06] Players: 14, RAMused: 68.26 MB
[1/16 13:24:06] Players: 11, RAMused: 67.5 MB
[1/16 13:21:06] Players: 10, RAMused: 65.07 MB
[1/16 13:18:06] Players: 9, RAMused: 63.62 MB
[1/16 13:15:06] Players: 8, RAMused: 63.69 MB
[1/16 13:12:06] Players: 7, RAMused: 59.8 MB
[1/16 13:09:06] Players: 7, RAMused: 57.26 MB
[1/16 13:06:06] Players: 3, RAMused: 53.59 MB
[1/15 15:35:16] Players: 8, RAMused: 59.59 MB
[1/15 15:32:16] Players: 6, RAMused: 55.57 MB
